,geometry,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,element_type,highway,nodes,lanes,maxspeed,name,oneway_no,oneway_yes
55,"LINESTRING (-122.42720275587806 37.78111712713572, -122.4273236168325 37.78111007298294, -122.43042441485773 37.78071557320852)",30,TURK ST,39.0,13.0,28.6,34.05,38.15,way,residential,"[2351399563, 276546821]",nan,25,Laguna Street,1,0
55,"LINESTRING (-122.42720275587806 37.78111712713572, -122.4273236168325 37.78111007298294, -122.43042441485773 37.78071557320852)",30,TURK ST,39.0,13.0,28.6,34.05,38.15,way,residential,"[276546821, 2351399563]",nan,25,Laguna Street,1,0
55,"LINESTRING (-122.42720275587806 37.78111712713572, -122.4273236168325 37.78111007298294, -122.43042441485773 37.78071557320852)",30,TURK ST,39.0,13.0,28.6,34.05,38.15,way,secondary,"[65308300, 65328216]","['2', '3']",25,Webster Street,0,1
56,"LINESTRING (-122.4354245156999 37.780077637870676, -122.43707186507035 37.77986739581174)",30,TURK ST,55.0,14.0,30.2,33.55,38.07,way,residential,"[65308306, 65357228]",nan,25,Pierce Street,1,0
56,"LINESTRING (-122.4354245156999 37.780077637870676, -122.43707186507035 37.77986739581174)",30,TURK ST,55.0,14.0,30.2,33.55,38.07,way,residential,"[65357228, 65308306]",nan,25,Pierce Street,1,0
57,"LINESTRING (-122.44369911016992 37.77903801878579, -122.44534674008537 37.778836632740585)",30,TURK BLVD,71.5,29.0,32.32,34.64,38.52,way,residential,"[65308330, 65336717]",nan,25,Lyon Street,1,0
57,"LINESTRING (-122.44369911016992 37.77903801878579, -122.44534674008537 37.778836632740585)",30,TURK BLVD,71.5,29.0,32.32,34.64,38.52,way,residential,"[65336717, 65308330]",nan,25,Lyon Street,1,0
58,"LINESTRING (-122.44976707894695 37.77827700835063, -122.45065481247336 37.77816459877842)",30,TURK BLVD,27.5,8.0,27.55,33.82,38.25,way,residential,"[6913099452, 65308341]",nan,25,Roselyn Terrace,1,0
58,"LINESTRING (-122.44976707894695 37.77827700835063, -122.45065481247336 37.77816459877842)",30,TURK BLVD,27.5,8.0,27.55,33.82,38.25,way,residential,"[65308341, 6913099452]",nan,25,Roselyn Terrace,1,0
58,"LINESTRING (-122.44976707894695 37.77827700835063, -122.45065481247336 37.77816459877842)",30,TURK BLVD,27.5,8.0,27.55,33.82,38.25,way,tertiary,"[346527552, 65358843]",2,30,Turk Boulevard,0,1
59,"LINESTRING (-122.41347759696401 37.73706991116187, -122.41285757197613 37.73703468876026)",25,TOMPKINS AVE,0.0,0.0,12.68,0.0,0.0,way,residential,"[65302398, 65300999]",nan,25,Banks Street,0,1
60,"LINESTRING (-122.40095239441399 37.73526139504263, -122.39993559571471 37.734259793343085, -122.39964528995162 37.73406423771741, -122.39937988508176 37.733957716183355)",25,TOPEKA AVE,10.55,0.82,18.31,27.39,32.0,way,residential,"[65292481, 65292479]",nan,25,Quint Street,1,0
60,"LINESTRING (-122.40095239441399 37.73526139504263, -122.39993559571471 37.734259793343085, -122.39964528995162 37.73406423771741, -122.39937988508176 37.733957716183355)",25,TOPEKA AVE,10.55,0.82,18.31,27.39,32.0,way,residential,"[65292479, 65292481]",nan,25,Quint Street,1,0
60,"LINESTRING (-122.40095239441399 37.73526139504263, -122.39993559571471 37.734259793343085, -122.39964528995162 37.73406423771741, -122.39937988508176 37.733957716183355)",25,TOPEKA AVE,10.55,0.82,18.31,27.39,32.0,way,residential,"[65297760, 65292479]",nan,25,Topeka Avenue,1,0
60,"LINESTRING (-122.40095239441399 37.73526139504263, -122.39993559571471 37.734259793343085, -122.39964528995162 37.73406423771741, -122.39937988508176 37.733957716183355)",25,TOPEKA AVE,10.55,0.82,18.31,27.39,32.0,way,residential,"[65292479, 65297760]",nan,25,Topeka Avenue,1,0
